id,company,current_focus_area,current_subcategory,title,url
oai-r-extending-single-minus-amplitudes-to-gravitons,openai,pretraining-and-architecture,fallback-architecture,Extending single-minus amplitudes to gravitons,https://openai.com/index/extending-single-minus-amplitudes-to-gravitons/
oai-r-scaling-social-science-research,openai,pretraining-and-architecture,fallback-architecture,Scaling social science research,https://openai.com/index/scaling-social-science-research/
oai-r-advancing-independent-research-ai-alignment,openai,alignment-and-safety,fallback-alignment,Advancing independent research on AI alignment,https://openai.com/index/advancing-independent-research-ai-alignment/
dbx-r-memalign-building-better-llm-judges-human-feedback-scalable-memory,databricks,post-training-and-fine-tuning,fallback-post-training,MemAlign: Building Better LLM Judges From Human Feedback With Scalable Memory,https://www.databricks.com/blog/memalign-building-better-llm-judges-human-feedback-scalable-memory
dbx-r-scaling-small-llms-nvidia-mps,databricks,pretraining-and-architecture,fallback-architecture,Scaling Small LLMs with NVIDIA MPS,https://www.databricks.com/blog/scaling-small-llms-nvidia-mps
dbx-r-building-state-art-enterprise-agents-90x-cheaper-automated-prompt-optimization,databricks,agentic-systems,fallback-agents,Building State-of-the-Art Enterprise Agents 90x Cheaper with Automated Prompt Optimization,https://www.databricks.com/blog/building-state-art-enterprise-agents-90x-cheaper-automated-prompt-optimization
dbx-r-power-fine-tuning-your-data-quick-fixing-bugs-llms-never-ending-learning-nel,databricks,pretraining-and-architecture,fallback-architecture,The Power of Fine-Tuning on Your Data: Quick Fixing Bugs with LLMs via Never Ending Learning (NEL),https://www.databricks.com/blog/power-fine-tuning-your-data-quick-fixing-bugs-llms-never-ending-learning-nel
dbx-r-characterizing-datasets-and-building-better-models-continued-pre-training,databricks,pretraining-and-architecture,fallback-architecture,Characterizing Datasets and Building Better Models with Continued Pre-Training,https://www.databricks.com/blog/characterizing-datasets-and-building-better-models-continued-pre-training
dbx-r-long-context-rag-performance-llms,databricks,pretraining-and-architecture,fallback-architecture,Long Context RAG Performance of LLMs,https://www.databricks.com/blog/long-context-rag-performance-llms
dbx-e-training-moes-scale-pytorch-and-databricks,databricks,harness-and-context-engineering,databricks-training-stack-misc,Training MoEs at Scale with PyTorch and Databricks,https://www.databricks.com/blog/training-moes-scale-pytorch-and-databricks
dbx-r-optimizing-databricks-llm-pipelines-dspy,databricks,pretraining-and-architecture,fallback-architecture,Optimizing Databricks LLM Pipelines with DSPy,https://www.databricks.com/blog/optimizing-databricks-llm-pipelines-dspy
dbx-e-bringing-megablocks-databricks,databricks,harness-and-context-engineering,databricks-training-stack-misc,Bringing MegaBlocks to Databricks,https://www.databricks.com/blog/bringing-megablocks-databricks
dbx-r-dspy-databricks,databricks,pretraining-and-architecture,fallback-architecture,DSPy on Databricks,https://www.databricks.com/blog/dspy-databricks
dbx-e-turbocharged-training-optimizing-databricks-mosaic-ai-stack-fp8,databricks,quantization-and-efficiency,fallback-efficiency,Turbocharged Training: Optimizing the Databricks Mosaic AI Stack With FP8,https://www.databricks.com/blog/turbocharged-training-optimizing-databricks-mosaic-ai-stack-fp8
dbx-e-fast-secure-and-reliable-enterprise-grade-llm-inference,databricks,harness-and-context-engineering,databricks-training-stack-misc,"Fast, Secure and Reliable: Enterprise-grade LLM Inference",https://www.databricks.com/blog/fast-secure-and-reliable-enterprise-grade-llm-inference
dbx-r-fine-grained-human-feedback,databricks,post-training-and-fine-tuning,fallback-post-training,Fine-Grained Human Feedback,https://www.databricks.com/blog/fine-grained-human-feedback
dbx-e-llm-training-and-inference-intel-gaudi2-ai-accelerators,databricks,harness-and-context-engineering,databricks-training-stack-misc,LLM Training and Inference with Intel Gaudi 2 AI Accelerators,https://www.databricks.com/blog/llm-training-and-inference-intel-gaudi2-ai-accelerators
dbx-e-training-llms-scale-amd-mi250-gpus,databricks,harness-and-context-engineering,databricks-training-stack-misc,Training LLMs at Scale with AMD MI250 GPUs,https://www.databricks.com/blog/training-llms-scale-amd-mi250-gpus
dbx-e-llm-training-unity-catalog-data-mosaicml-streaming-dataset,databricks,harness-and-context-engineering,databricks-training-stack-misc,LLM Training on Unity Catalog data with MosaicML Streaming Dataset,https://www.databricks.com/blog/llm-training-unity-catalog-data-mosaicml-streaming-dataset
dbx-e-llm-inference-performance-engineering-best-practices,databricks,harness-and-context-engineering,databricks-training-stack-misc,LLM Inference Performance Engineering: Best Practices,https://www.databricks.com/blog/llm-inference-performance-engineering-best-practices
dbx-e-amd-mi250,databricks,harness-and-context-engineering,databricks-training-stack-misc,Training LLMs with AMD MI250 GPUs and MosaicML,https://www.databricks.com/blog/amd-mi250
dbx-e-cloudflare-r2-mosaicml,databricks,harness-and-context-engineering,databricks-training-stack-misc,Cloudflare R2 and MosaicML: Train LLMs on Any Compute with Zero Switching Costs,https://www.databricks.com/blog/cloudflare-r2-mosaicml
dbx-r-diffusion,databricks,harness-and-context-engineering,databricks-training-stack-misc,How We Trained Stable Diffusion for Less than $50k (Part 3),https://www.databricks.com/blog/diffusion
dbx-e-billion-parameter-gpt-training-made-easy,databricks,harness-and-context-engineering,fallback-harness,Mosaic LLMs (Part 1): Billion-Parameter GPT Training Made Easy,https://www.databricks.com/blog/billion-parameter-gpt-training-made-easy
dbx-r-behind-the-scenes,databricks,pretraining-and-architecture,fallback-architecture,Behind the Scenes: Setting a Baseline for Image Segmentation Speedups,https://www.databricks.com/blog/behind-the-scenes
dbx-e-farewell-oom,databricks,harness-and-context-engineering,databricks-training-stack-misc,"Farewell, CUDA OOM: Automatic Gradient Accumulation",https://www.databricks.com/blog/farewell-oom
dbx-r-5-best-practices-for-efficient-model-training,databricks,pretraining-and-architecture,fallback-architecture,5 Best Practices for Efficient Model Training,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/5-best-practices-for-efficient-model-training
dbx-e-aws-composer,databricks,harness-and-context-engineering,fallback-harness,Composer on AWS,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/aws-composer
dbx-r-best-practices-dec-2021,databricks,pretraining-and-architecture,fallback-architecture,Best Practices (Dec 2021),https://web.archive.org/web/2023/https://www.mosaicml.com/blog/best-practices-dec-2021
dbx-e-composer-0-10-release,databricks,harness-and-context-engineering,fallback-harness,Composer 0.10 Release,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/composer-0-10-release
dbx-e-composer-0-11-release,databricks,harness-and-context-engineering,fallback-harness,Composer 0.11 Release,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/composer-0-11-release
dbx-e-composer-0-9-release,databricks,harness-and-context-engineering,fallback-harness,Composer 0.9 Release,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/composer-0-9-release
dbx-e-composer-ffcv-faster-together,databricks,harness-and-context-engineering,fallback-harness,Composer + FFCV: Faster Together,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/composer-ffcv-faster-together
dbx-r-dream3d,databricks,pretraining-and-architecture,fallback-architecture,Dream3D,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/dream3d
dbx-r-making-ml-training-efficient-algorithmically,databricks,pretraining-and-architecture,fallback-architecture,Making ML Training Efficient Algorithmically,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/making-ml-training-efficient-algorithmically
dbx-r-methodology,databricks,pretraining-and-architecture,fallback-architecture,Methodology,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/methodology
dbx-r-natural-synthetics,databricks,pretraining-and-architecture,fallback-architecture,Natural Synthetics,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/natural-synthetics
