id,new_focus_area,new_subcategory,summary
oai-r-extending-single-minus-amplitudes-to-gravitons,,model-research-and-applications,"OpenAI preprint using GPT-5.2 Pro to derive new scattering-amplitude results in quantum gravity; Extends gluon single-minus amplitudes to gravitons and shows they are nonzero in a half-collinear regime; GPT-5.2 Pro produced the derivation (matrix-tree theorem) and draft from the gluon paper as context; Demonstrates LLM-assisted theoretical physics research; Matters as case study for AI accelerating mathematical/scientific discovery"
oai-r-scaling-social-science-research,,model-research-and-applications,"OpenAI Economic Research Team releases GABRIEL, an open-source Python toolkit using GPT to turn qualitative text/images into quantitative measurements; Lets researchers describe measures in everyday words and score thousands to millions of documents; Paper benchmarks GPT labeling accuracy across use cases; Also supports dataset merging, dedup, passage coding, deidentification; Matters by making qualitative social-science data analyzable at scale"
oai-r-advancing-independent-research-ai-alignment,,responsible-scaling-and-policy,"OpenAI commits $7.5M grant to The Alignment Project, a UK AISI-run global fund for independent alignment research; Argues a diverse ecosystem outside frontier labs is essential for AGI safety; Fund totals £27M+ supporting projects from complexity theory to game theory, cognitive science, cryptography; Aligns with OpenAI's iterative deployment philosophy; Matters as funding mechanism to broaden alignment field beyond labs"
dbx-r-memalign-building-better-llm-judges-human-feedback-scalable-memory,post-training-and-fine-tuning,sft-and-instruction-tuning,"Databricks introduces MemAlign, a framework that aligns LLM judges with human feedback using a lightweight dual-memory system instead of fine-tuning or prompt optimization; Needs only a handful of natural-language feedback examples, beats SOTA prompt optimizers at orders-of-magnitude lower cost ($0.03 vs $1-5) and latency; Introduces memory scaling: quality improves as feedback accumulates without re-optimization; Available in open-source MLflow; Matters for scaling domain-specific LLM-as-judge alignment in enterprise agent evaluation"
dbx-r-scaling-small-llms-nvidia-mps,quantization-and-efficiency,parameter-efficient-training,"Databricks tests NVIDIA Multi-Process Service (MPS) for serving small LLMs more efficiently on GPUs; MPS lets multiple inference processes share a single GPU context, overlapping kernels; Finds meaningful throughput wins for small models (<=3B params) with short context, prefill-only workloads, and CPU-bottlenecked engines; Explains wins via GPU kernel overlap when engines under-utilize compute/memory bandwidth, plus CPU-sharding benefits; Matters for cost-effective production serving of small LLMs"
dbx-r-building-state-art-enterprise-agents-90x-cheaper-automated-prompt-optimization,agentic-systems,enterprise-agents,"Databricks Agent Bricks uses automated prompt optimization (GEPA technique from Databricks/UC Berkeley) to push open-source gpt-oss-120b past Claude Sonnet 4/Opus 4.1 by ~3% while being 20x-90x cheaper to serve; Same technique lifts Claude Opus 4.1 and Sonnet 4 baselines by 6-7%; Matches or beats SFT while reducing serving costs 20%, and composes with SFT for further gains; Benchmarks focused on enterprise information extraction; Matters for building high-quality enterprise agents without fine-tuning"
dbx-r-power-fine-tuning-your-data-quick-fixing-bugs-llms-never-ending-learning-nel,post-training-and-fine-tuning,sft-and-instruction-tuning,"Databricks fine-tunes Llama 3.1 8B Instruct on internal telemetry-code interaction data for a Quick Fix program-repair agent; Live A/B test shows fine-tuned Llama delivers 1.4x higher acceptance rate vs GPT-4o and 2x lower inference latency; Introduces Never Ending Learning (NEL) paradigm for continuously learning from user interactions; Demonstrates small open-source LLMs fine-tuned on org-specific data beat frontier models; Matters as blueprint for enterprise code-assistant customization"
dbx-r-characterizing-datasets-and-building-better-models-continued-pre-training,,scaling-and-training-dynamics,"Databricks guide to Continued Pre-Training (CPT) as a method for adapting LLMs to specific domains without full retraining; Identifies three key hyperparameters: learning rate, training duration, data mixture; Recommends simple weight averaging to mitigate forgetting; Also shows CPT as a tool to characterize datasets by seeing which evals improve/degrade; Matters as a practical recipe for domain adaptation of open-source LLMs"
dbx-r-long-context-rag-performance-llms,evals-and-benchmarks,domain-specific-evals,"Databricks ran 2000+ experiments evaluating 13 LLMs (open and commercial) on long-context RAG across 4 datasets (DocsQA, FinanceBench, HotPotQA, Natural Questions); Retrieving more documents helps but most models degrade past a context length (Llama-3.1-405B after 32k, GPT-4-0125 after 64k); Identifies distinct failure modes like copyright refusal or always summarizing; Suggests lack of long-context post-training; Matters for practitioners tuning RAG systems with long-context LLMs"
dbx-e-training-moes-scale-pytorch-and-databricks,,training-stack,"Databricks and Meta researchers describe tools for scaling Mixture-of-Experts training in PyTorch; MegaBlocks (maintained by Databricks) is integrated with LLM Foundry for distributed MoE training to thousands of GPUs; Uses PyTorch DTensor for parallelism, FSDP/HSDP for sharding to balance memory and communication, elastic sharded checkpointing for fault tolerance; Backs DBRX training; Matters as the open-source MoE training stack behind DBRX"
