id,new_focus_area,new_subcategory,summary
oai-r-gamepad,,benchmark-release,"Introduces GamePad, a Coq-based learning environment for ML-driven theorem proving; Trains baselines on Feit-Thompson formalization for position evaluation and tactic prediction; Supports supervised step-by-step proof construction with machine-checkable proofs; Provides a platform for studying interactive theorem proving with human supervision; Matters as foundational environment for later neural theorem provers."
oai-r-preparing-for-malicious-uses-of-ai,alignment-and-safety,responsible-scaling-and-policy,"Co-authored multi-org report forecasting malicious uses of AI and mitigations; Key recommendations: acknowledge dual-use nature, borrow from cybersecurity practices (red teaming, responsible disclosure), broaden societal discussion; Illustrates concrete scenarios (AI-generated phishing, automated exploit generation, weaponized robots, predictive policing); Grounds policy framing of AI misuse risks; Matters as early framework for AI policy and responsible disclosure."
oai-r-concrete-ai-safety-problems,,safety-research-general,"Co-authored foundational Concrete Problems in AI Safety paper (Amodei et al.); Identifies 5 core safety research problems: safe exploration, robustness to distributional shift, avoiding negative side effects, avoiding reward hacking/wireheading, and scalable oversight; Grounds each problem in practical RL scenarios; Establishes the vocabulary still used today in alignment research; Matters as the foundational agenda-setting paper for modern AI safety."
oai-r-language-models-can-explain-neurons-in-language-models,interpretability,feature-viz-and-probing,"Uses GPT-4 to automatically generate natural-language explanations for GPT-2 neurons at scale; Scores explanations by simulating the explained neuron's activations on new text; Releases a full dataset of explanations and scores for every GPT-2 neuron; Technique works poorly on larger/later layers, highlighting interpretability scaling challenges; Matters as an early automated-interpretability pipeline applied at model-wide scale."
oai-r-techniques-for-training-large-neural-networks,,training-stack,"Explainer/survey of parallelism strategies for training large neural networks; Covers data parallelism, pipeline parallelism (GPipe, PipeDream), tensor parallelism (Megatron-LM), and Mixture-of-Experts; Discusses pipeline bubbles, microbatching, and sequence parallelism tradeoffs; Serves as an accessible primer for the modern distributed training stack; Matters as reference doc for training infrastructure at scale."
oai-r-scaling-laws-for-reward-model-overoptimization,alignment-and-safety,reward-hacking-and-sycophancy,"Empirical study of reward-model overoptimization (Goodhart's law) in RLHF; Uses gold reward model as synthetic ground truth to study proxy-vs-gold divergence under RL and best-of-n; Finds distinct functional forms for RL vs BoN that scale smoothly with RM parameter count; Analyzes impact of RM data size, policy size, and KL penalty; Matters as core reference for understanding RLHF overoptimization dynamics."
oai-r-learning-policy-representations-in-multiagent-systems,agentic-systems,game-and-rl-agents,"Proposes unsupervised representation learning framework for modeling agents in multiagent systems; Casts agent modeling as representation learning using imitation-learning-inspired and agent-identification objectives; Validates on high-dim competitive continuous control and cooperative communication envs; Supports downstream supervised prediction, clustering, and policy optimization; Matters for opponent modeling and multi-agent RL."
oai-r-evolution-through-large-models,,research-techniques-and-methods,"Proposes ELM: using code-pretrained LLMs as mutation operators for genetic programming; Combined with MAP-Elites, generates hundreds of thousands of functional Sodarace walker programs; Bootstraps a new conditional LM that outputs walkers for specific terrains; Demonstrates open-ended generation in a domain with zero original training data; Matters for open-endedness, creative code generation, and LLM-augmented evolutionary search."
oai-r-measuring-goodharts-law,alignment-and-safety,reward-hacking-and-sycophancy,"Explains mathematical framework for measuring Goodhart's law in best-of-n sampling; Derives efficient estimators for true objective expectations and KL divergence in BoN; Shows BoN often competitive with RL at low KL budgets (e.g., best-of-64 beat RL in WebGPT); Contextualizes the tradeoff between proxy reward and true objective; Matters for practical RLHF diagnostics and reward-model evaluation."
oai-r-webgpt,,model-research-and-applications,"Fine-tunes GPT-3 with a text-based web browser to answer open-ended questions with citations; Trained via behavior cloning plus reward-modeling with RL/rejection sampling; Outperforms human demonstrators on ELI5 (56% preference) and beats GPT-3 on TruthfulQA; Model must search, click, quote, and compose answers with references; Matters as an early browsing LLM and precursor to modern agentic RAG systems."
