id,company,focus_area,subcategory,title,url,signal_priority
dsk-r-deepseek-v3,deepseek,pretraining-and-architecture,foundation-model-releases,DeepSeek-V3 Technical Report,https://github.com/deepseek-ai/DeepSeek-V3,9.9
oai-e-building-chatgpt-atlas,openai,pretraining-and-architecture,architectures,"How we built OWL, the new architecture behind our ChatGPT-based browser, Atlas",https://openai.com/index/building-chatgpt-atlas/,9.9
ant-e-infrastructure-noise,anthropic,evals-and-benchmarks,benchmark-critique,Quantifying infrastructure noise in agentic coding evals,https://www.anthropic.com/engineering/infrastructure-noise,8.9
ant-e-effective-context-engineering-for-ai-agents,anthropic,harness-and-context-engineering,context-engineering,Effective context engineering for AI agents,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,8.9
ant-r-alignment-faking,anthropic,alignment-and-safety,deceptive-alignment,Alignment faking in large language models,https://www.anthropic.com/research/alignment-faking,8.9
ant-r-specific-versus-general-principles-for-constitutional-ai,anthropic,alignment-and-safety,constitutional-and-self-critique,Specific versus General Principles for Constitutional AI,https://www.anthropic.com/research/specific-versus-general-principles-for-constitutional-ai,8.9
ant-r-collective-constitutional-ai-aligning-a-language-model-with-public-input,anthropic,alignment-and-safety,constitutional-and-self-critique,Collective Constitutional AI: Aligning a Language Model with Public Input,https://www.anthropic.com/research/collective-constitutional-ai-aligning-a-language-model-with-public-input,8.9
ant-r-constitutional-ai-harmlessness-from-ai-feedback,anthropic,alignment-and-safety,constitutional-and-self-critique,Constitutional AI: Harmlessness from AI Feedback,https://www.anthropic.com/research/constitutional-ai-harmlessness-from-ai-feedback,8.9
dsk-r-deepseek-coder-v2,deepseek,pretraining-and-architecture,foundation-model-releases,DeepSeek-Coder-V2: Breaking the Barrier of Closed-Source Models in Code Intelligence,https://github.com/deepseek-ai/DeepSeek-Coder-V2,8.9
dsk-r-deepseek-moe,deepseek,pretraining-and-architecture,architectures,DeepSeekMoE: Towards Ultimate Expert Specialization in Mixture-of-Experts Language Models,https://github.com/deepseek-ai/DeepSeek-MoE,8.9
dsk-r-deepseek-prover-v1.5,deepseek,pretraining-and-architecture,foundation-model-releases,DeepSeek-Prover-V1.5: Harnessing Proof Assistant Feedback for Reinforcement Learning and Monte-Carlo Tree Search,https://github.com/deepseek-ai/DeepSeek-Prover-V1.5,8.9
dsk-r-deepseek-prover-v2,deepseek,pretraining-and-architecture,foundation-model-releases,DeepSeek-Prover-V2: Advancing Formal Mathematical Reasoning via Reinforcement Learning,https://github.com/deepseek-ai/DeepSeek-Prover-V2,8.9
dsk-r-deepseek-r1,deepseek,pretraining-and-architecture,foundation-model-releases,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,https://github.com/deepseek-ai/DeepSeek-R1,8.9
dsk-r-deepseek-v2,deepseek,pretraining-and-architecture,foundation-model-releases,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",https://github.com/deepseek-ai/DeepSeek-V2,8.9
dsk-r-deepseek-v3.2-exp,deepseek,pretraining-and-architecture,architectures,DeepSeek-V3.2-Exp: Exploring Sparse Attention,https://github.com/deepseek-ai/DeepSeek-V3.2-Exp,8.9
dsk-r-dreamcraft3d,deepseek,pretraining-and-architecture,research-techniques-and-methods,DreamCraft3D: Hierarchical 3D Generation with Bootstrapped Diffusion Prior,https://github.com/deepseek-ai/DreamCraft3D,8.9
meta-r-timesformer-a-new-architecture-for-video-understanding,meta-fair,pretraining-and-architecture,architectures,Timesformer A New Architecture For Video Understanding,https://ai.meta.com/blog/timesformer-a-new-architecture-for-video-understanding/,8.9
oai-r-why-we-no-longer-evaluate-swe-bench-verified,openai,evals-and-benchmarks,benchmark-critique,Why SWE-bench Verified no longer measures frontier coding capabilities,https://openai.com/index/why-we-no-longer-evaluate-swe-bench-verified/,8.9
ant-e-multi-agent-research-system,anthropic,agentic-systems,multi-agent-orchestration,How we built our multi-agent research system,https://www.anthropic.com/engineering/multi-agent-research-system,8.8
