id,summary,new_signal_learning,new_signal_novelty,new_signal_actionability,refined_subcategory
sk-r-ab-mcts,"Introduces AB-MCTS (Adaptive Branching Monte Carlo Tree Search), an inference-time scaling algorithm enabling multiple frontier LLMs to cooperate via trial-and-error; Combines o4-mini + Gemini-2.5-Pro + DeepSeek-R1 on ARC-AGI-2, outperforming each model alone by a large margin; Demonstrates collective intelligence at inference, useful for teams combining diverse frontier models on hard reasoning; Open-sourced TreeQuest library and ARC-AGI-2 experiment code; Frames multi-model ensembling as adaptive tree search over candidate solutions.",H,H,M,inference-time-scaling
sk-r-ai-scientist-first-publication,"Reports that AI Scientist-v2 generated a fully AI-produced paper that passed double-blind peer review at an ICLR 2025 workshop; System autonomously hypothesized, coded experiments, ran them, analyzed data, and wrote the paper end-to-end with humans only choosing topic and submission; Milestone for autonomous research agents and a caution for peer-review systems; Conducted with ICLR and workshop-organizer cooperation plus IRB approval; Technical report and open-sourced code released April 2025.",H,H,M,autonomous-research-agents
sk-r-namm,"Introduces Neural Attention Memory Models (NAMMs): small neural classifiers that decide whether transformers should keep or forget each KV-cache token; Trained via evolution (non-differentiable decision) they boost long-context performance while cutting memory on language and code tasks; Crucially, NAMMs trained only on language transfer zero-shot to vision and RL transformers across modalities; Releases training code and ChouBun, a Japanese long-context benchmark; Practical for deploying long-context transformers cheaper without retraining.",H,H,M,long-context-memory
sk-r-rlt,"Proposes Reinforcement-Learned Teachers (RLTs) that learn to teach rather than solve, generating explanations from given question-answer pairs; Rewarded by how well a student model recovers the correct solution from their explanation, aligning training with teaching purpose; A 7B RLT beats DeepSeek-R1 (671B) as a distillation teacher on AIME/MATH/GPQA (26.3% vs 18.9%), and also for 32B students (37.6% vs 34.4%); Drastically cheaper than 'learn-to-solve' RL pipelines; Code, report, and model weights released.",H,H,H,distillation-and-reasoning
sk-r-shinka-evolve,"Introduces ShinkaEvolve, an LLM-driven evolutionary code-optimization framework that is orders-of-magnitude more sample-efficient than AlphaEvolve; Found a new state-of-the-art 26-circle packing solution in only 150 samples; Also evolved agentic scaffolds for AIME math (75 generations), improved ALE-Bench solutions, and worked across four domains; Open-sourced (Apache 2.0); Demonstrates that careful evolutionary search with LLM proposers makes automated algorithm discovery practical.",H,H,H,program-evolution-and-search
sk-r-transformer-squared,"Introduces Transformer-squared, a self-adaptive LLM framework using SVD on weight matrices plus RL-trained Singular Value Finetuning (SVF) vectors to adapt weights per task; At inference, uses three dispatch strategies to detect task identity and apply the right SVF adaptation; Outperforms LoRA with far fewer parameters across math, coding, reasoning, and vision tasks; Positions self-adaptive weights as a path toward lifelong, test-time-scaling models; Open code and paper released.",H,H,M,self-adaptive-models
ant-e-building-effective-agents,"Anthropic's practitioner guide from dozens of customer agent builds: successful agents use simple composable patterns rather than complex frameworks; Distinguishes 'workflows' (orchestrated code paths) from 'agents' (LLM-directed) and catalogues patterns: prompt chaining, routing, parallelization, orchestrator-workers, evaluator-optimizer; Recommends starting with LLM APIs directly and adding complexity only when needed; Warns that frameworks obscure prompts and add bugs; Cornerstone reference for production agent architecture.",H,M,H,
ant-e-contextual-retrieval,"Describes Contextual Retrieval: prepend per-chunk LLM-generated context before embedding and BM25 indexing; Combined with reranking, cuts retrieval failure rate by 67% (49% without rerank); Practical RAG upgrade actionable via cookbook; Notes prompt caching makes contextualization cheap; For sub-200k-token corpora, simply stuff into prompt with caching; Strong actionable RAG playbook.",H,M,H,
ant-r-automated-alignment-researchers,"Describes 'Automated Alignment Researchers' (AARs): nine Claude Opus 4.6 copies with sandbox, shared forum, code storage and PGR scoring working on weak-to-strong supervision; AARs closed the performance gap from 0.23 (human baseline over 7 days) to 0.97 PGR in 5 days, costing ~$18k in tokens ($22/hr); Suggests LLMs can meaningfully accelerate alignment research today; Demonstrates a concrete scalable-oversight experiment where models act as researchers; Important signal on AI-for-AI-safety.",H,H,M,
ant-r-trustworthy-agents,"Updates Anthropic's framework for trustworthy agents with five principles: human control, alignment, security, transparency, privacy; Defines agents as models directing their own tool use in plan-act-observe loops; Maps the agent stack (model, harness, tools, environment) and product design decisions that flow from each principle; Argues prompt-injection and misuse risks intensify with agent autonomy; Useful template for enterprise agent governance.",H,M,H,
