id,company,focus_area,subcategory,title,url,signal_priority
oai-r-instruction-hierarchy-challenge,openai,alignment-and-safety,constitutional-and-self-critique,Improving instruction hierarchy in frontier LLMs,https://openai.com/index/instruction-hierarchy-challenge/,7.7
oai-r-how-we-monitor-internal-coding-agents-misalignment,openai,agentic-systems,agent-design-and-patterns,How we monitor internal coding agents for misalignment,https://openai.com/index/how-we-monitor-internal-coding-agents-misalignment/,7.7
oai-r-accelerating-biological-research-in-the-wet-lab,openai,evals-and-benchmarks,judge-models-and-methodology,Measuring AI’s capability to accelerate biological research in the wet lab,https://openai.com/index/accelerating-biological-research-in-the-wet-lab/,7.7
oai-r-prediction-and-control-with-temporal-segment-models,openai,pretraining-and-architecture,research-techniques-and-methods,Prediction and control with temporal segment models,https://openai.com/index/prediction-and-control-with-temporal-segment-models/,7.7
oai-r-understanding-neural-networks-through-sparse-circuits,openai,interpretability,circuits-and-mechanistic,Understanding neural networks through sparse circuits,https://openai.com/index/understanding-neural-networks-through-sparse-circuits/,7.7
oai-r-fine-tuning-gpt-2,openai,pretraining-and-architecture,foundation-model-releases,Fine-tuning GPT-2 from human preferences,https://openai.com/index/fine-tuning-gpt-2/,7.7
oai-r-improving-language-model-behavior,openai,pretraining-and-architecture,research-techniques-and-methods,Improving language model behavior by training on a curated dataset,https://openai.com/index/improving-language-model-behavior/,7.7
oai-r-improving-gans-using-optimal-transport,openai,pretraining-and-architecture,research-techniques-and-methods,Improving GANs using optimal transport,https://openai.com/index/improving-gans-using-optimal-transport/,7.7
oai-r-transfer-from-simulation-to-real-world-through-learning-deep-inverse-dynamics-model,openai,pretraining-and-architecture,research-techniques-and-methods,Transfer from simulation to real world through learning deep inverse dynamics model,https://openai.com/index/transfer-from-simulation-to-real-world-through-learning-deep-inverse-dynamics-model/,7.7
oai-r-consistency-models,openai,pretraining-and-architecture,research-techniques-and-methods,Consistency Models,https://openai.com/index/consistency-models/,7.7
oai-r-text-and-code-embeddings-by-contrastive-pre-training,openai,pretraining-and-architecture,research-techniques-and-methods,Text and code embeddings by contrastive pre-training,https://openai.com/index/text-and-code-embeddings-by-contrastive-pre-training/,7.7
oai-r-critiques,openai,alignment-and-safety,constitutional-and-self-critique,AI-written critiques help humans notice flaws,https://openai.com/index/critiques/,7.7
oai-r-teaching-models-to-express-their-uncertainty-in-words,openai,pretraining-and-architecture,research-techniques-and-methods,Teaching models to express their uncertainty in words,https://openai.com/index/teaching-models-to-express-their-uncertainty-in-words/,7.7
oai-r-hindsight-experience-replay,openai,pretraining-and-architecture,research-techniques-and-methods,Hindsight Experience Replay,https://openai.com/index/hindsight-experience-replay/,7.7
oai-r-quantifying-generalization-in-reinforcement-learning,openai,pretraining-and-architecture,research-techniques-and-methods,Quantifying generalization in reinforcement learning,https://openai.com/index/quantifying-generalization-in-reinforcement-learning/,7.7
oai-r-understanding-the-source-of-what-we-see-and-hear-online,openai,pretraining-and-architecture,research-techniques-and-methods,Understanding the source of what we see and hear online,https://openai.com/index/understanding-the-source-of-what-we-see-and-hear-online/,7.7
oai-r-mle-bench,openai,agentic-systems,agent-design-and-patterns,MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering,https://openai.com/index/mle-bench/,7.7
oai-r-ucb-exploration-via-q-ensembles,openai,pretraining-and-architecture,research-techniques-and-methods,Ucb Exploration Via Q Ensembles,https://openai.com/index/ucb-exploration-via-q-ensembles/,7.7
oai-r-efficient-training-of-language-models-to-fill-in-the-middle,openai,pretraining-and-architecture,research-techniques-and-methods,Efficient training of language models to fill in the middle,https://openai.com/index/efficient-training-of-language-models-to-fill-in-the-middle/,7.7
oai-r-benchmarking-safe-exploration-in-deep-reinforcement-learning,openai,pretraining-and-architecture,research-techniques-and-methods,Benchmarking safe exploration in deep reinforcement learning,https://openai.com/index/benchmarking-safe-exploration-in-deep-reinforcement-learning/,7.7
oai-r-gpt-2-6-month-follow-up,openai,pretraining-and-architecture,foundation-model-releases,GPT-2: 6-month follow-up,https://openai.com/index/gpt-2-6-month-follow-up/,7.7
oai-r-energy-based-models,openai,pretraining-and-architecture,research-techniques-and-methods,Implicit generation and generalization methods for energy-based models,https://openai.com/index/energy-based-models/,7.7
oai-r-some-considerations-on-learning-to-explore-via-meta-reinforcement-learning,openai,pretraining-and-architecture,research-techniques-and-methods,Some considerations on learning to explore via meta-reinforcement learning,https://openai.com/index/some-considerations-on-learning-to-explore-via-meta-reinforcement-learning/,7.7
oai-r-debate,openai,alignment-and-safety,scalable-oversight,AI safety via debate,https://openai.com/index/debate/,7.7
oai-r-plan-online-learn-offline,openai,pretraining-and-architecture,research-techniques-and-methods,"Plan online, learn offline: Efficient learning and exploration via model-based control",https://openai.com/index/plan-online-learn-offline/,7.7
oai-r-scaling-laws-for-neural-language-models,openai,pretraining-and-architecture,scaling-and-training-dynamics,Scaling laws for neural language models,https://openai.com/index/scaling-laws-for-neural-language-models/,7.7
oai-r-sparse-transformer,openai,pretraining-and-architecture,research-techniques-and-methods,Generative modeling with sparse transformers,https://openai.com/index/sparse-transformer/,7.7
