id,company,current_focus_area,current_subcategory,title,url
oai-r-gamepad,openai,evals-and-benchmarks,fallback-evals,GamePad: A learning environment for theorem proving,https://openai.com/index/gamepad/
oai-r-preparing-for-malicious-uses-of-ai,openai,pretraining-and-architecture,fallback-architecture,Preparing for malicious uses of AI,https://openai.com/index/preparing-for-malicious-uses-of-ai/
oai-r-concrete-ai-safety-problems,openai,alignment-and-safety,fallback-alignment,Concrete AI safety problems,https://openai.com/index/concrete-ai-safety-problems/
oai-r-language-models-can-explain-neurons-in-language-models,openai,pretraining-and-architecture,fallback-architecture,Language models can explain neurons in language models,https://openai.com/index/language-models-can-explain-neurons-in-language-models/
oai-r-techniques-for-training-large-neural-networks,openai,pretraining-and-architecture,fallback-architecture,Techniques for training large neural networks,https://openai.com/index/techniques-for-training-large-neural-networks/
oai-r-scaling-laws-for-reward-model-overoptimization,openai,evals-and-benchmarks,fallback-evals,Scaling laws for reward model overoptimization,https://openai.com/index/scaling-laws-for-reward-model-overoptimization/
oai-r-learning-policy-representations-in-multiagent-systems,openai,alignment-and-safety,fallback-alignment,Learning policy representations in multiagent systems,https://openai.com/index/learning-policy-representations-in-multiagent-systems/
oai-r-evolution-through-large-models,openai,pretraining-and-architecture,fallback-architecture,Evolution through large models,https://openai.com/index/evolution-through-large-models/
oai-r-measuring-goodharts-law,openai,pretraining-and-architecture,fallback-architecture,Measuring Goodhart’s law,https://openai.com/index/measuring-goodharts-law/
oai-r-webgpt,openai,pretraining-and-architecture,fallback-architecture,WebGPT: Improving the factual accuracy of language models through web browsing,https://openai.com/index/webgpt/
oai-r-generative-language-modeling-for-automated-theorem-proving,openai,evals-and-benchmarks,fallback-evals,Generative language modeling for automated theorem proving,https://openai.com/index/generative-language-modeling-for-automated-theorem-proving/
oai-r-summarizing-books,openai,post-training-and-fine-tuning,fallback-post-training,Summarizing books with human feedback,https://openai.com/index/summarizing-books/
oai-r-deep-double-descent,openai,pretraining-and-architecture,fallback-architecture,Deep double descent,https://openai.com/index/deep-double-descent/
oai-r-improving-verifiability,openai,pretraining-and-architecture,fallback-architecture,Improving verifiability in AI development,https://openai.com/index/improving-verifiability/
oai-r-testing-robustness,openai,pretraining-and-architecture,fallback-architecture,Testing robustness against unforeseen adversaries,https://openai.com/index/testing-robustness/
oai-r-learning-concepts-with-energy-functions,openai,pretraining-and-architecture,fallback-architecture,Learning concepts with energy functions,https://openai.com/index/learning-concepts-with-energy-functions/
oai-r-variance-reduction-for-policy-gradient-with-action-dependent-factorized-baselines,openai,alignment-and-safety,fallback-alignment,Variance reduction for policy gradient with action-dependent factorized baselines,https://openai.com/index/variance-reduction-for-policy-gradient-with-action-dependent-factorized-baselines/
oai-r-large-scale-study-of-curiosity-driven-learning,openai,pretraining-and-architecture,fallback-architecture,Large-scale study of curiosity-driven learning,https://openai.com/index/large-scale-study-of-curiosity-driven-learning/
oai-r-discovering-types-for-entity-disambiguation,openai,pretraining-and-architecture,fallback-architecture,Discovering types for entity disambiguation,https://openai.com/index/discovering-types-for-entity-disambiguation/
oai-r-estimating-worst-case-frontier-risks-of-open-weight-llms,openai,pretraining-and-architecture,fallback-architecture,Estimating worst case frontier risks of open weight LLMs,https://openai.com/index/estimating-worst-case-frontier-risks-of-open-weight-llms/
oai-r-interpretable-machine-learning-through-teaching,openai,pretraining-and-architecture,fallback-architecture,Interpretable Machine Learning Through Teaching,https://openai.com/index/interpretable-machine-learning-through-teaching/
oai-r-learning-to-model-other-minds,openai,pretraining-and-architecture,fallback-architecture,Learning to model other minds,https://openai.com/index/learning-to-model-other-minds/
oai-r-learning-sparse-neural-networks-through-l0-regularization,openai,pretraining-and-architecture,fallback-architecture,Learning sparse neural networks through L₀ regularization,https://openai.com/index/learning-sparse-neural-networks-through-l0-regularization/
oai-r-interpretable-and-pedagogical-examples,openai,pretraining-and-architecture,fallback-architecture,Interpretable and pedagogical examples,https://openai.com/index/interpretable-and-pedagogical-examples/
oai-r-meta-learning-for-wrestling,openai,post-training-and-fine-tuning,fallback-post-training,Meta-learning for wrestling,https://openai.com/index/meta-learning-for-wrestling/
oai-r-semi-supervised-knowledge-transfer-for-deep-learning-from-private-training-data,openai,pretraining-and-architecture,fallback-architecture,Semi-supervised knowledge transfer for deep learning from private training data,https://openai.com/index/semi-supervised-knowledge-transfer-for-deep-learning-from-private-training-data/
oai-r-learning-with-opponent-learning-awareness,openai,pretraining-and-architecture,fallback-architecture,Learning with opponent-learning awareness,https://openai.com/index/learning-with-opponent-learning-awareness/
oai-r-adversarial-training-methods-for-semi-supervised-text-classification,openai,alignment-and-safety,fallback-alignment,Adversarial training methods for semi-supervised text classification,https://openai.com/index/adversarial-training-methods-for-semi-supervised-text-classification/
oai-r-robust-adversarial-inputs,openai,alignment-and-safety,fallback-alignment,Robust adversarial inputs,https://openai.com/index/robust-adversarial-inputs/
oai-r-learning-to-cooperate-compete-and-communicate,openai,pretraining-and-architecture,fallback-architecture,"Learning to cooperate, compete, and communicate",https://openai.com/index/learning-to-cooperate-compete-and-communicate/
oai-r-equivalence-between-policy-gradients-and-soft-q-learning,openai,alignment-and-safety,fallback-alignment,Equivalence between policy gradients and soft Q-learning,https://openai.com/index/equivalence-between-policy-gradients-and-soft-q-learning/
oai-r-extensions-and-limitations-of-the-neural-gpu,openai,pretraining-and-architecture,fallback-architecture,Extensions and limitations of the neural GPU,https://openai.com/index/extensions-and-limitations-of-the-neural-gpu/
oai-r-unsupervised-sentiment-neuron,openai,interpretability,fallback-interp,Unsupervised sentiment neuron,https://openai.com/index/unsupervised-sentiment-neuron/
oai-r-one-shot-imitation-learning,openai,post-training-and-fine-tuning,fallback-post-training,One-shot imitation learning,https://openai.com/index/one-shot-imitation-learning/
