id,company,focus_area,subcategory,title,url,signal_priority
sk-r-ab-mcts,sakana,pretraining-and-architecture,research-techniques-and-methods,Inference-Time Scaling and Collective Intelligence for Frontier AI,https://sakana.ai/ab-mcts/,7.8
sk-r-ai-scientist-first-publication,sakana,pretraining-and-architecture,model-research-and-applications,The AI Scientist Generates its First Peer-Reviewed Scientific Publication,https://sakana.ai/ai-scientist-first-publication/,7.8
sk-r-namm,sakana,pretraining-and-architecture,research-techniques-and-methods,An Evolved Universal Transformer Memory,https://sakana.ai/namm/,7.8
sk-r-rlt,sakana,pretraining-and-architecture,research-techniques-and-methods,Reinforcement Learning Teachers of Test Time Scaling,https://sakana.ai/rlt/,7.8
sk-r-shinka-evolve,sakana,pretraining-and-architecture,research-techniques-and-methods,"ShinkaEvolve: Evolving New Algorithms with LLMs, Orders of Magnitude More Efficiently",https://sakana.ai/shinka-evolve/,7.8
sk-r-transformer-squared,sakana,pretraining-and-architecture,research-techniques-and-methods,Transformer²: Self-Adaptive LLMs,https://sakana.ai/transformer-squared/,7.8
ant-e-building-effective-agents,anthropic,agentic-systems,agent-design-and-patterns,Building Effective AI Agents,https://www.anthropic.com/engineering/building-effective-agents,7.7
ant-e-contextual-retrieval,anthropic,harness-and-context-engineering,context-engineering,Contextual Retrieval in AI Systems,https://www.anthropic.com/engineering/contextual-retrieval,7.7
ant-r-automated-alignment-researchers,anthropic,alignment-and-safety,scalable-oversight,Automated Alignment Researchers: Using large language models to scale scalable oversight,https://www.anthropic.com/research/automated-alignment-researchers,7.7
ant-r-trustworthy-agents,anthropic,agentic-systems,agent-design-and-patterns,Trustworthy agents in practice,https://www.anthropic.com/research/trustworthy-agents,7.7
ant-r-emotion-concepts-function,anthropic,pretraining-and-architecture,research-techniques-and-methods,Emotion concepts and their function in a large language model,https://www.anthropic.com/research/emotion-concepts-function,7.7
ant-r-diff-tool,anthropic,pretraining-and-architecture,research-techniques-and-methods,A “diff” tool for AI: Finding behavioral differences in new models,https://www.anthropic.com/research/diff-tool,7.7
ant-r-deprecation-updates-opus-3,anthropic,pretraining-and-architecture,foundation-model-releases,An update on our model deprecation commitments for Claude Opus 3,https://www.anthropic.com/research/deprecation-updates-opus-3,7.7
ant-r-persona-selection-model,anthropic,alignment-and-safety,constitutional-and-self-critique,The persona selection model,https://www.anthropic.com/research/persona-selection-model,7.7
ant-r-measuring-agent-autonomy,anthropic,evals-and-benchmarks,judge-models-and-methodology,Measuring AI agent autonomy in practice,https://www.anthropic.com/research/measuring-agent-autonomy,7.7
ant-r-emergent-misalignment-reward-hacking,anthropic,alignment-and-safety,deceptive-alignment,From shortcuts to sabotage: natural emergent misalignment from reward hacking,https://www.anthropic.com/research/emergent-misalignment-reward-hacking,7.7
ant-r-introspection,anthropic,pretraining-and-architecture,scaling-and-training-dynamics,Emergent introspective awareness in large language models,https://www.anthropic.com/research/introspection,7.7
ant-r-small-samples-poison,anthropic,alignment-and-safety,deceptive-alignment,A small number of samples can poison LLMs of any size,https://www.anthropic.com/research/small-samples-poison,7.7
ant-r-building-ai-cyber-defenders,anthropic,alignment-and-safety,capability-evals-for-safety,Building AI for cyber defenders,https://www.anthropic.com/research/building-ai-cyber-defenders,7.7
ant-r-end-subset-conversations,anthropic,pretraining-and-architecture,foundation-model-releases,Claude Opus 4 and 4.1 can now end a rare subset of conversations,https://www.anthropic.com/research/end-subset-conversations,7.7
ant-r-persona-vectors,anthropic,alignment-and-safety,constitutional-and-self-critique,Persona vectors: Monitoring and controlling character traits in language models,https://www.anthropic.com/research/persona-vectors,7.7
ant-r-confidential-inference-trusted-vms,anthropic,pretraining-and-architecture,research-techniques-and-methods,Confidential Inference via Trusted Virtual Machines,https://www.anthropic.com/research/confidential-inference-trusted-vms,7.7
ant-r-open-source-circuit-tracing,anthropic,interpretability,circuits-and-mechanistic,Open-sourcing circuit-tracing tools,https://www.anthropic.com/research/open-source-circuit-tracing,7.7
ant-r-exploring-model-welfare,anthropic,alignment-and-safety,constitutional-and-self-critique,Exploring model welfare,https://www.anthropic.com/research/exploring-model-welfare,7.7
ant-r-reasoning-models-dont-say-think,anthropic,pretraining-and-architecture,research-techniques-and-methods,Reasoning models don't always say what they think,https://www.anthropic.com/research/reasoning-models-dont-say-think,7.7
ant-r-auditing-hidden-objectives,anthropic,alignment-and-safety,deceptive-alignment,Auditing language models for hidden objectives,https://www.anthropic.com/research/auditing-hidden-objectives,7.7
ant-r-forecasting-rare-behaviors,anthropic,pretraining-and-architecture,research-techniques-and-methods,Forecasting rare language model behaviors,https://www.anthropic.com/research/forecasting-rare-behaviors,7.7
ant-r-building-effective-agents,anthropic,agentic-systems,agent-design-and-patterns,Building Effective AI Agents,https://www.anthropic.com/research/building-effective-agents,7.7
ant-r-sabotage-evaluations,anthropic,alignment-and-safety,capability-evals-for-safety,Sabotage evaluations for frontier models,https://www.anthropic.com/research/sabotage-evaluations,7.7
ant-r-circuits-updates-sept-2024,anthropic,interpretability,circuits-and-mechanistic,Circuits Updates – September 2024,https://www.anthropic.com/research/circuits-updates-sept-2024,7.7
ant-r-circuits-updates-august-2024,anthropic,interpretability,circuits-and-mechanistic,Circuits Updates – August 2024,https://www.anthropic.com/research/circuits-updates-august-2024,7.7
ant-r-circuits-updates-july-2024,anthropic,interpretability,circuits-and-mechanistic,Circuits Updates – July 2024,https://www.anthropic.com/research/circuits-updates-july-2024,7.7
ant-r-circuits-updates-june-2024,anthropic,interpretability,circuits-and-mechanistic,Circuits Updates – June 2024,https://www.anthropic.com/research/circuits-updates-june-2024,7.7
ant-r-circuits-updates-april-2024,anthropic,interpretability,circuits-and-mechanistic,Circuits Updates – April 2024,https://www.anthropic.com/research/circuits-updates-april-2024,7.7
ant-r-probes-catch-sleeper-agents,anthropic,alignment-and-safety,deceptive-alignment,Simple probes can catch sleeper agents,https://www.anthropic.com/research/probes-catch-sleeper-agents,7.7
ant-r-transformer-circuits,anthropic,interpretability,circuits-and-mechanistic,Reflections on Qualitative Research,https://www.anthropic.com/research/transformer-circuits,7.7
ant-r-sleeper-agents-training-deceptive-llms-that-persist-through-safety-training,anthropic,alignment-and-safety,deceptive-alignment,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,https://www.anthropic.com/research/sleeper-agents-training-deceptive-llms-that-persist-through-safety-training,7.7
ant-r-studying-large-language-model-generalization-with-influence-functions,anthropic,alignment-and-safety,deceptive-alignment,Studying Large Language Model Generalization with Influence Functions,https://www.anthropic.com/research/studying-large-language-model-generalization-with-influence-functions,7.7
ant-r-circuits-updates-may-2023,anthropic,interpretability,circuits-and-mechanistic,Circuits Updates — May 2023,https://www.anthropic.com/research/circuits-updates-may-2023,7.7
ant-r-distributed-representations-composition-superposition,anthropic,interpretability,saes-and-dictionary-learning,Distributed Representations: Composition & Superposition,https://www.anthropic.com/research/distributed-representations-composition-superposition,7.7
ant-r-superposition-memorization-and-double-descent,anthropic,interpretability,saes-and-dictionary-learning,"Superposition, Memorization, and Double Descent",https://www.anthropic.com/research/superposition-memorization-and-double-descent,7.7
ant-r-discovering-language-model-behaviors-with-model-written-evaluations,anthropic,pretraining-and-architecture,research-techniques-and-methods,Discovering Language Model Behaviors with Model-Written Evaluations,https://www.anthropic.com/research/discovering-language-model-behaviors-with-model-written-evaluations,7.7
ant-r-measuring-progress-on-scalable-oversight-for-large-language-models,anthropic,alignment-and-safety,scalable-oversight,Measuring Progress on Scalable Oversight for Large Language Models,https://www.anthropic.com/research/measuring-progress-on-scalable-oversight-for-large-language-models,7.7
ant-r-toy-models-of-superposition,anthropic,interpretability,saes-and-dictionary-learning,Toy Models of Superposition,https://www.anthropic.com/research/toy-models-of-superposition,7.7
ant-r-scaling-laws-and-interpretability-of-learning-from-repeated-data,anthropic,pretraining-and-architecture,scaling-and-training-dynamics,Scaling Laws and Interpretability of Learning from Repeated Data,https://www.anthropic.com/research/scaling-laws-and-interpretability-of-learning-from-repeated-data,7.7
ant-r-training-a-helpful-and-harmless-assistant-with-reinforcement-learning-from-human-feedback,anthropic,post-training-and-fine-tuning,rlhf-classic,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,https://www.anthropic.com/research/training-a-helpful-and-harmless-assistant-with-reinforcement-learning-from-human-feedback,7.7
ant-r-in-context-learning-and-induction-heads,anthropic,pretraining-and-architecture,research-techniques-and-methods,In-context Learning and Induction Heads,https://www.anthropic.com/research/in-context-learning-and-induction-heads,7.7
ant-r-predictability-and-surprise-in-large-generative-models,anthropic,pretraining-and-architecture,research-techniques-and-methods,Predictability and Surprise in Large Generative Models,https://www.anthropic.com/research/predictability-and-surprise-in-large-generative-models,7.7
ant-r-a-mathematical-framework-for-transformer-circuits,anthropic,interpretability,circuits-and-mechanistic,A Mathematical Framework for Transformer Circuits,https://www.anthropic.com/research/a-mathematical-framework-for-transformer-circuits,7.7
cur-r-cursorbench,cursor,evals-and-benchmarks,coding-evals,How we compare model quality in Cursor We use a hybrid online-offline eval process to keep our understanding of model quality aligned with what developers actually do. Naman Jain ·,https://cursor.com/blog/cursorbench,7.7
dsk-r-deepseek-coder,deepseek,pretraining-and-architecture,foundation-model-releases,DeepSeek-Coder: When the Large Language Model Meets Programming,https://github.com/deepseek-ai/DeepSeek-Coder,7.7
dsk-r-deepseek-llm,deepseek,pretraining-and-architecture,foundation-model-releases,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,https://github.com/deepseek-ai/DeepSeek-LLM,7.7
dsk-r-deepseek-math,deepseek,pretraining-and-architecture,foundation-model-releases,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,https://github.com/deepseek-ai/DeepSeek-Math,7.7
dsk-r-deepseek-math-v2,deepseek,pretraining-and-architecture,foundation-model-releases,DeepSeekMath-V2: Towards Self-Verifiable Mathematical Reasoning,https://github.com/deepseek-ai/DeepSeek-Math-V2,7.7
dsk-r-janus,deepseek,pretraining-and-architecture,multimodal-pretraining,Janus / Janus-Pro: Unified Multimodal Understanding and Generation,https://github.com/deepseek-ai/Janus,7.7
hf-r-falconmamba,huggingface,pretraining-and-architecture,architectures,Welcome Falcon Mamba: The first strong attention-free 7B model,https://huggingface.co/blog/falconmamba,7.7
hf-r-mixtral,huggingface,pretraining-and-architecture,architectures,Welcome Mixtral - a SOTA Mixture of Experts on Hugging Face,https://huggingface.co/blog/mixtral,7.7
hf-r-open-llm-leaderboard-drop,huggingface,evals-and-benchmarks,leaderboards-and-community-evals,Open LLM Leaderboard: DROP deep dive,https://huggingface.co/blog/open-llm-leaderboard-drop,7.7
hf-r-Lora-for-sequence-classification-with-Roberta-Llama-Mistral,huggingface,quantization-and-efficiency,parameter-efficient-training,"Comparing the Performance of LLMs: A Deep Dive into Roberta, Llama 2, and Mistral for Disaster Tweets Analysis with Lora",https://huggingface.co/blog/Lora-for-sequence-classification-with-Roberta-Llama-Mistral,7.7
